제목	가수	링크	앨범아트	장르	
The Feeling	비투비	https://www.youtube.com/watch?v=8iyUAvxhf1k	https://cdnimg.melon.co.kr/cm/album/images/102/15/293/10215293_500.jpg?4bb564594c48f12ffed0a146c63b8315/melon/resize/282/quality/80/optimize	1:2:3	
꿈에	비투비	https://www.youtube.com/watch?v=2HIccPTEAS4	https://cdnimg.melon.co.kr/cm/album/images/026/75/661/2675661_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
아무도 모른다	서은광	https://www.youtube.com/watch?v=IRSJ15kWLx0	https://cdnimg.melon.co.kr/cm/album/images/101/75/106/10175106_500.jpg?982248187a3b8b5a4e901d3f6e42265b/melon/resize/282/quality/80/optimize	1:2:3	
부른다	서인국	https://www.youtube.com/watch?v=9uzq7YhchJA	https://cdnimg.melon.co.kr/cm/album/images/101/02/658/10102658_500.jpg?6cec8d222561d42eb5d87c6d77cefd68/melon/resize/282/quality/80/optimizee	1:2:3	
너의 모든 순간	성시경	https://www.youtube.com/watch?v=BTt8VLGDysM	https://cdnimg.melon.co.kr/cm2/album/images/104/33/655/10433655_20200608162322_500.jpg?2b605bcd558b7180dc8d07be11156c5e/melon/resize/282/quality/80/optimize	1:2:3	
첫 겨울이니까	"아이유, 성시경"	https://www.youtube.com/watch?v=HVcp0Far	https://cdnimg.melon.co.kr/cm/album/images/007/05/159/705159_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
안녕이라는 말	송이한	https://www.youtube.com/watch?v=IQEDU7SZI2Y	https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
I Believe	신승훈	https://www.youtube.com/watch?v=eJ9Oye_7Cdo	https://cdnimg.melon.co.kr/cm2/album/images/103/62/285/10362285_20191209152506_500.jpg?070bba30934c11a3bf772d3e6e835df5/melon/resize/282/quality/80/optimize	1:2:3	
나만 몰랐던 이야기	아이유	https://www.youtube.com/watch?v=zzIDM8xGWwg	https://cdnimg.melon.co.kr/cm2/album/images/103/62/285/10362285_20191209152506_500.jpg?070bba30934c11a3bf772d3e6e835df5/melon/resize/282/quality/80/optimizee	1:2:3	
마음	아이유	https://www.youtube.com/watch?v=-UZnpcufkbc	https://cdnimg.melon.co.kr/cm/album/images/003/14/498/314498_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
또 생각이 나서	알리	https://www.youtube.com/watch?v=CSZPU-Do7pQ	https://cdnimg.melon.co.kr/cm/album/images/011/73/161/1173161_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
미안해	양다일	https://www.youtube.com/watch?v=2HQqcBUcWvs	https://cdnimg.melon.co.kr/cm/album/images/023/19/008/2319008_500.jpg?1d5950f924c443dce26fdfeb4b55471b/melon/resize/282/quality/80/optimize	1:2:3	
노래가 늘었어	에일리	https://www.youtube.com/watch?v=spI2pO3k_8E	https://cdnimg.melon.co.kr/cm/album/images/100/16/613/10016613_500.jpg?e7fa6bd59486a6aa242b0968e92f2ba5/melon/resize/282/quality/80/optimize	1:2:3	
밤	여자친구	https://www.youtube.com/watch?v=87ZxH3oQ2rM	https://cdnimg.melon.co.kr/cm/album/images/101/23/639/10123639_500.jpg?650a61bf2f3bbc4b6916ccc87880debb/melon/resize/282/quality/80/optimize	1:2:3	
말해	육성재	https://www.youtube.com/watch?v=Ymd9U4Vs3To	https://cdnimg.melon.co.kr/cm/album/images/022/24/293/2224293_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
좋니	윤종신	https://www.youtube.com/watch?v=hHPKpTrcMJM	https://cdnimg.melon.co.kr/cm/album/images/101/63/106/10163106_500.jpg?337d03c7a135e6d95049c3a877afd268/melon/resize/282/quality/80/optimize	1:2:3	
서툰 이별을 하려해	윤토벤	https://www.youtube.com/watch?v=nNrl7cnSA	https://cdnimg.melon.co.kr/cm/album/images/100/92/297/10092297_500.jpg?ba5efd00ce0e87d9f3815fef0858bf50/melon/resize/282/quality/80/optimize	1:2:3	
옛사랑	이문세	https://www.youtube.com/watch?v=b1kQvZhQ6_M	https://cdnimg.melon.co.kr/cm/album/images/100/73/513/10073513_500.jpg?a30879f3ce208bbbf0c3feca712f70b8/melon/resize/282/quality/80/optimize	1:2:3	
My Way	이수	https://www.youtube.com/watch?v=lvPGjhJfekM	https://cdnimg.melon.co.kr/cm/album/images/103/13/133/10313133_500.jpg?7aee43f6c24b32e34745f55bfb9f4fcb/melon/resize/282/quality/80/optimize	1:2:3	
내 안부	이우	https://www.youtube.com/watch?v=CPLK6L1fq7k	https://cdnimg.melon.co.kr/cm/album/images/000/31/553/31553_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
같이 걸을까	이적	https://www.youtube.com/watch?v=lXi8y3g4PP4	https://cdnimg.melon.co.kr/cm/album/images/101/10/396/10110396_500.jpg?b2b050bf8a1044b53854281a74014562/melon/resize/282/quality/80/optimize	1:2:3	
